season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
2,10,The One with Russ,4 Jan. 1996,8.0,4752,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.
2,11,The One with the Lesbian Wedding,18 Jan. 1996,8.1,4648,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.
2,12,The One After the Superbowl: Part 1,28 Jan. 1996,8.6,4891,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.
2,13,The One After the Superbowl: Part 2,28 Jan. 1996,8.7,5073,"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme."
2,14,The One with the Prom Video,1 Feb. 1996,9.4,7366,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.
2,15,The One Where Ross and Rachel... You Know,8 Feb. 1996,8.9,5138,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.
2,16,The One Where Joey Moves Out,15 Feb. 1996,8.6,4553,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.
2,17,The One Where Eddie Moves In,22 Feb. 1996,8.3,4498,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment."
2,18,The One Where Dr. Ramoray Dies,21 Mar. 1996,8.4,4501,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica."
2,19,The One Where Eddie Won't Go,28 Mar. 1996,8.5,4615,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want."
2,20,The One Where Old Yeller Dies,4 Apr. 1996,8.1,4372,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.
2,21,The One with the Bullies,25 Apr. 1996,8.1,4415,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.
2,22,The One with the Two Parties,2 May 1996,9.0,5487,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting."
2,23,The One with the Chicken Pox,9 May 1996,8.0,4432,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.
2,24,The One with Barry and Mindy's Wedding,16 May 1996,8.2,4433,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.
3,1,The One with the Princess Leia Fantasy,19 Sep. 1996,8.4,4591,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.
3,2,The One Where No One's Ready,26 Sep. 1996,9.0,6141,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space."
3,3,The One with the Jam,3 Oct. 1996,8.0,4378,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.
3,4,The One with the Metaphorical Tunnel,10 Oct. 1996,8.0,4217,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.
3,5,The One with Frank Jr.,17 Oct. 1996,8.1,4328,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.
3,6,The One with the Flashback,31 Oct. 1996,9.1,5646,"The gang remember the events three years ago, when several of them almost slept together."
3,7,The One with the Race Car Bed,7 Nov. 1996,8.3,4267,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.
3,8,The One with the Giant Poking Device,14 Nov. 1996,8.3,4291,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.
3,9,The One with the Football,21 Nov. 1996,9.0,5940,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football."
3,10,The One Where Rachel Quits,12 Dec. 1996,8.1,4284,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.
3,11,The One Where Chandler Can't Remember Which Sister,9 Jan. 1997,8.6,4444,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.
3,12,The One with All the Jealousy,16 Jan. 1997,8.2,4218,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production."
3,13,The One Where Monica and Richard Are Just Friends,30 Jan. 1997,8.2,4227,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction""."
3,14,The One with Phoebe's Ex-Partner,6 Feb. 1997,7.8,4221,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg."
3,15,The One Where Ross and Rachel Take a Break,13 Feb. 1997,8.5,4529,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.
3,16,The One with the Morning After,20 Feb. 1997,9.1,5525,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night."
3,17,The One Without the Ski Trip,6 Mar. 1997,8.3,4168,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up."
3,18,The One with the Hypnosis Tape,13 Mar. 1997,8.4,4312,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.
3,19,The One with the Tiny T-Shirt,27 Mar. 1997,8.1,4147,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him."
3,20,The One with the Dollhouse,10 Apr. 1997,8.1,4114,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna."
3,21,The One with the Chick and the Duck,17 Apr. 1997,8.7,4442,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her."
3,22,The One with the Screamer,24 Apr. 1997,8.2,4185,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company."
3,23,The One with Ross's Thing,1 May 1997,8.0,4109,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.
3,24,The One with the Ultimate Fighting Champion,8 May 1997,8.1,4273,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.
3,25,The One at the Beach,15 May 1997,8.8,4759,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie."
4,1,The One with the Jellyfish,25 Sep. 1997,9.1,5379,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach."
4,2,The One with the Cat,2 Oct. 1997,8.0,4197,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.
