,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc,rachel,monica,phoebe,joey,chandler,ross,rachel_words,monica_words,phoebe_words,joey_words,chandler_words,ross_words
10,1,11,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,456660,26600000.0,8.2,5265.0,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",19.0,41.0,40.0,32.0,42.0,62.0,213.0,339.0,350.0,365.0,380.0,625.0
11,1,12,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,456658,24000000.0,8.2,5161.0,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,37.0,23.0,42.0,32.0,33.0,50.0,386.0,342.0,420.0,333.0,322.0,607.0
12,1,13,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,456664,25800000.0,8.6,5508.0,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,27.0,18.0,27.0,43.0,35.0,12.0,282.0,111.0,270.0,524.0,338.0,128.0
13,1,14,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,456667,23800000.0,8.2,5082.0,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",19.0,21.0,11.0,21.0,40.0,22.0,156.0,170.0,164.0,278.0,411.0,453.0
14,1,15,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,456663,24800000.0,8.2,5124.0,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",33.0,40.0,30.0,32.0,36.0,38.0,238.0,541.0,397.0,330.0,669.0,360.0
15,1,16,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665A,26100000.0,8.1,5046.0,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,22.0,17.0,38.0,26.0,51.0,32.0,259.0,137.0,445.0,200.0,625.0,390.0
16,1,17,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,456665B,30500000.0,8.4,5142.0,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",50.0,53.0,32.0,26.0,20.0,34.0,564.0,628.0,273.0,233.0,195.0,419.0
17,1,18,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,456662,30400000.0,8.8,5690.0,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",69.0,39.0,35.0,26.0,32.0,62.0,790.0,337.0,306.0,255.0,315.0,552.0
18,1,19,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,456668,29400000.0,8.1,4923.0,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,57.0,37.0,23.0,17.0,18.0,50.0,859.0,313.0,188.0,164.0,203.0,771.0
19,1,20,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,456669,30000000.0,7.8,4916.0,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",57.0,31.0,18.0,23.0,42.0,20.0,737.0,263.0,145.0,354.0,521.0,185.0
20,1,21,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,456671,28400000.0,7.8,4954.0,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,30.0,51.0,14.0,20.0,20.0,29.0,298.0,575.0,135.0,190.0,162.0,441.0
21,1,22,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,456670,29900000.0,8.3,4916.0,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,34.0,48.0,42.0,22.0,57.0,36.0,251.0,443.0,456.0,164.0,451.0,374.0
22,1,23,23,The One with the Birth,James Burrows,Story by: David Crane & Marta KauffmanTeleplay by: Jeff Greenstein & Jeff Strauss,1995-05-11,456672,28700000.0,8.7,5191.0,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",22.0,20.0,19.0,25.0,21.0,56.0,209.0,189.0,313.0,284.0,222.0,598.0
23,1,24,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,456673,31300000.0,8.9,5532.0,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",53.0,38.0,22.0,41.0,35.0,37.0,650.0,369.0,226.0,517.0,296.0,401.0
24,2,1,25,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,457301,32100000.0,8.5,5036.0,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",46.0,27.0,33.0,22.0,27.0,45.0,607.0,223.0,479.0,299.0,298.0,563.0
25,2,2,26,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,457302,29800000.0,8.2,4827.0,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",35.0,32.0,21.0,25.0,15.0,23.0,415.0,455.0,230.0,391.0,219.0,264.0
26,2,3,27,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,457303,30200000.0,8.3,4841.0,"Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution.",28.0,30.0,29.0,24.0,45.0,22.0,242.0,332.0,471.0,252.0,665.0,240.0
27,2,4,28,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,457305,28100000.0,7.9,4689.0,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",47.0,16.0,33.0,13.0,17.0,45.0,838.0,221.0,427.0,231.0,170.0,434.0
